epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
104,70.6891,0.91555,2.18564,1.03484,0.79192,0.9037,0.8244,0.65889,0.73875,1.19991,0.96056,0.0009803,0.0009803,0.0009803
105,71.3171,0.93392,2.03747,1.14083,0.79192,0.9037,0.8244,0.65889,0.73875,1.19991,0.96056,0.0009704,0.0009704,0.0009704
106,72.0184,0.91324,2.15093,1.09217,0.79192,0.9037,0.8244,0.65889,0.73875,1.19991,0.96056,0.0009605,0.0009605,0.0009605
107,72.7197,0.91996,1.93964,1.11356,0.79192,0.9037,0.8244,0.65889,0.73875,1.19991,0.96056,0.0009506,0.0009506,0.0009506
108,73.4064,0.83445,2.12753,1.11606,0.79192,0.9037,0.8244,0.65889,0.73875,1.19991,0.96056,0.0009407,0.0009407,0.0009407
109,74.1031,0.8554,1.97304,1.10662,0.79192,0.9037,0.8244,0.65889,0.73875,1.19991,0.96056,0.0009308,0.0009308,0.0009308
110,74.7997,0.88835,2.38008,1.03933,0.79192,0.9037,0.8244,0.65889,0.73875,1.19991,0.96056,0.0009209,0.0009209,0.0009209
111,75.4804,0.81406,1.96909,1.06104,0.79192,0.9037,0.8244,0.65889,0.73875,1.19991,0.96056,0.000911,0.000911,0.000911
112,76.2283,0.91751,2.23016,1.08693,0.79192,0.9037,0.8244,0.65889,0.73875,1.19991,0.96056,0.0009011,0.0009011,0.0009011
113,76.8969,1.04455,1.97209,1.23149,0.79192,0.9037,0.8244,0.65889,0.73875,1.19991,0.96056,0.0008912,0.0008912,0.0008912
114,77.5953,0.99371,2.10175,1.23111,0.79192,0.9037,0.8244,0.65889,0.73875,1.19991,0.96056,0.0008813,0.0008813,0.0008813
115,78.2931,0.76229,1.9298,1.03802,0.87739,0.94074,0.93954,0.79185,0.61874,0.98625,0.90531,0.0008714,0.0008714,0.0008714
116,78.9743,0.73089,1.85769,1.03006,0.87739,0.94074,0.93954,0.79185,0.61874,0.98625,0.90531,0.0008615,0.0008615,0.0008615
117,79.7084,0.74714,1.78633,0.96677,0.87739,0.94074,0.93954,0.79185,0.61874,0.98625,0.90531,0.0008516,0.0008516,0.0008516
118,80.3891,0.73338,1.6745,1.06019,0.87739,0.94074,0.93954,0.79185,0.61874,0.98625,0.90531,0.0008417,0.0008417,0.0008417
119,81.0501,0.74456,2.25157,1.00026,0.87739,0.94074,0.93954,0.79185,0.61874,0.98625,0.90531,0.0008318,0.0008318,0.0008318
120,81.7399,0.66448,1.73568,0.99444,0.87739,0.94074,0.93954,0.79185,0.61874,0.98625,0.90531,0.0008219,0.0008219,0.0008219
121,82.4702,0.78703,1.69382,1.08554,0.87739,0.94074,0.93954,0.79185,0.61874,0.98625,0.90531,0.000812,0.000812,0.000812
122,83.1013,0.77902,2.00133,1.07073,0.87739,0.94074,0.93954,0.79185,0.61874,0.98625,0.90531,0.0008021,0.0008021,0.0008021
123,83.7752,0.73197,1.92449,1.06879,0.87739,0.94074,0.93954,0.79185,0.61874,0.98625,0.90531,0.0007922,0.0007922,0.0007922
124,84.454,0.72602,1.74522,1.01182,0.87739,0.94074,0.93954,0.79185,0.61874,0.98625,0.90531,0.0007823,0.0007823,0.0007823
125,85.1204,0.69369,1.95941,1.01481,0.87739,0.94074,0.93954,0.79185,0.61874,0.98625,0.90531,0.0007724,0.0007724,0.0007724
126,85.821,0.72151,1.82025,1.02508,0.87739,0.94074,0.93954,0.79185,0.61874,0.98625,0.90531,0.0007625,0.0007625,0.0007625
127,86.4914,0.65665,1.90401,0.98081,0.87739,0.94074,0.93954,0.79185,0.61874,0.98625,0.90531,0.0007526,0.0007526,0.0007526
128,87.1931,0.67207,1.71409,0.99911,0.98443,0.9358,0.98475,0.8637,0.5719,0.90651,0.90594,0.0007427,0.0007427,0.0007427
129,87.8525,0.65744,1.32691,0.999,0.98443,0.9358,0.98475,0.8637,0.5719,0.90651,0.90594,0.0007328,0.0007328,0.0007328
130,88.5845,0.59208,1.82706,0.95275,0.98443,0.9358,0.98475,0.8637,0.5719,0.90651,0.90594,0.0007229,0.0007229,0.0007229
131,89.2832,0.61163,1.67806,0.97393,0.98443,0.9358,0.98475,0.8637,0.5719,0.90651,0.90594,0.000713,0.000713,0.000713
132,89.95,0.56166,1.55846,0.93745,0.98443,0.9358,0.98475,0.8637,0.5719,0.90651,0.90594,0.0007031,0.0007031,0.0007031
133,90.6651,0.74588,1.9624,1.05478,0.98443,0.9358,0.98475,0.8637,0.5719,0.90651,0.90594,0.0006932,0.0006932,0.0006932
134,91.3582,0.57893,1.83812,0.94394,0.98443,0.9358,0.98475,0.8637,0.5719,0.90651,0.90594,0.0006833,0.0006833,0.0006833
135,92.0998,0.6946,1.47588,0.99733,0.98443,0.9358,0.98475,0.8637,0.5719,0.90651,0.90594,0.0006734,0.0006734,0.0006734
136,92.7723,0.71173,1.46585,1.03546,0.98443,0.9358,0.98475,0.8637,0.5719,0.90651,0.90594,0.0006635,0.0006635,0.0006635
137,93.389,0.63127,1.73287,0.96918,0.98443,0.9358,0.98475,0.8637,0.5719,0.90651,0.90594,0.0006536,0.0006536,0.0006536
138,94.0608,0.67258,1.72533,0.95641,0.98443,0.9358,0.98475,0.8637,0.5719,0.90651,0.90594,0.0006437,0.0006437,0.0006437
139,94.6992,0.70952,1.76888,1.0268,0.98443,0.9358,0.98475,0.8637,0.5719,0.90651,0.90594,0.0006338,0.0006338,0.0006338
140,95.3225,0.62083,1.62914,0.9966,0.9867,0.94321,0.98826,0.88457,0.52176,0.85924,0.89456,0.0006239,0.0006239,0.0006239
141,96.0056,0.57194,1.58856,0.98659,0.9867,0.94321,0.98826,0.88457,0.52176,0.85924,0.89456,0.000614,0.000614,0.000614
142,96.6942,0.74101,1.66238,1.03595,0.9867,0.94321,0.98826,0.88457,0.52176,0.85924,0.89456,0.0006041,0.0006041,0.0006041
143,97.3911,0.57088,1.70337,0.92659,0.9867,0.94321,0.98826,0.88457,0.52176,0.85924,0.89456,0.0005942,0.0005942,0.0005942
144,98.0813,0.72915,1.82392,1.02223,0.9867,0.94321,0.98826,0.88457,0.52176,0.85924,0.89456,0.0005843,0.0005843,0.0005843
145,98.7724,0.63139,1.65236,0.96896,0.9867,0.94321,0.98826,0.88457,0.52176,0.85924,0.89456,0.0005744,0.0005744,0.0005744
146,99.4542,0.769,1.68923,1.05428,0.9867,0.94321,0.98826,0.88457,0.52176,0.85924,0.89456,0.0005645,0.0005645,0.0005645
147,100.139,0.65888,1.61093,0.96272,0.9867,0.94321,0.98826,0.88457,0.52176,0.85924,0.89456,0.0005546,0.0005546,0.0005546
148,100.804,0.58766,1.50234,1.02627,0.9867,0.94321,0.98826,0.88457,0.52176,0.85924,0.89456,0.0005447,0.0005447,0.0005447
149,101.504,0.56603,1.45374,1.02501,0.9867,0.94321,0.98826,0.88457,0.52176,0.85924,0.89456,0.0005348,0.0005348,0.0005348
150,102.177,0.67468,1.54923,1.00054,0.9867,0.94321,0.98826,0.88457,0.52176,0.85924,0.89456,0.0005249,0.0005249,0.0005249
151,102.857,0.60137,1.69957,0.96771,0.9867,0.94321,0.98826,0.88457,0.52176,0.85924,0.89456,0.000515,0.000515,0.000515
152,103.535,0.61486,1.5087,0.9801,0.9867,0.94321,0.98826,0.88457,0.52176,0.85924,0.89456,0.0005051,0.0005051,0.0005051
153,104.241,0.66046,1.57054,1.02822,0.97499,0.9626,0.99271,0.90385,0.47036,0.8052,0.87035,0.0004952,0.0004952,0.0004952
154,104.954,0.67005,1.86253,0.99439,0.97499,0.9626,0.99271,0.90385,0.47036,0.8052,0.87035,0.0004853,0.0004853,0.0004853
155,105.62,0.51448,1.37593,0.99418,0.97499,0.9626,0.99271,0.90385,0.47036,0.8052,0.87035,0.0004754,0.0004754,0.0004754
156,106.31,0.57381,1.43434,1.01546,0.97499,0.9626,0.99271,0.90385,0.47036,0.8052,0.87035,0.0004655,0.0004655,0.0004655
157,107.04,0.74381,1.47202,1.00304,0.97499,0.9626,0.99271,0.90385,0.47036,0.8052,0.87035,0.0004556,0.0004556,0.0004556
158,107.737,0.53642,1.13823,0.96423,0.97499,0.9626,0.99271,0.90385,0.47036,0.8052,0.87035,0.0004457,0.0004457,0.0004457
159,108.447,0.54992,1.70763,0.9203,0.97499,0.9626,0.99271,0.90385,0.47036,0.8052,0.87035,0.0004358,0.0004358,0.0004358
160,109.127,0.5707,1.41667,1.01732,0.97499,0.9626,0.99271,0.90385,0.47036,0.8052,0.87035,0.0004259,0.0004259,0.0004259
161,109.814,0.53517,1.18421,0.97701,0.97499,0.9626,0.99271,0.90385,0.47036,0.8052,0.87035,0.000416,0.000416,0.000416
162,110.53,0.66478,1.8564,0.98706,0.97499,0.9626,0.99271,0.90385,0.47036,0.8052,0.87035,0.0004061,0.0004061,0.0004061
163,111.216,0.65156,1.78815,0.98446,0.97499,0.9626,0.99271,0.90385,0.47036,0.8052,0.87035,0.0003962,0.0003962,0.0003962
164,111.932,0.59624,1.78092,0.96645,0.97499,0.9626,0.99271,0.90385,0.47036,0.8052,0.87035,0.0003863,0.0003863,0.0003863
165,112.625,0.56129,1.43291,0.93899,0.97499,0.9626,0.99271,0.90385,0.47036,0.8052,0.87035,0.0003764,0.0003764,0.0003764
166,113.398,0.63565,1.68148,1.02624,0.98024,0.98006,0.99416,0.91452,0.4211,0.75586,0.849,0.0003665,0.0003665,0.0003665
167,114.029,0.51965,1.48956,0.94953,0.98024,0.98006,0.99416,0.91452,0.4211,0.75586,0.849,0.0003566,0.0003566,0.0003566
168,114.74,0.48495,1.29348,0.95149,0.98024,0.98006,0.99416,0.91452,0.4211,0.75586,0.849,0.0003467,0.0003467,0.0003467
169,115.405,0.51481,1.58593,0.93733,0.98024,0.98006,0.99416,0.91452,0.4211,0.75586,0.849,0.0003368,0.0003368,0.0003368
170,116.08,0.57578,1.41379,1.0107,0.98024,0.98006,0.99416,0.91452,0.4211,0.75586,0.849,0.0003269,0.0003269,0.0003269
171,116.774,0.71529,1.74124,1.00142,0.98024,0.98006,0.99416,0.91452,0.4211,0.75586,0.849,0.000317,0.000317,0.000317
172,117.499,0.51394,1.42803,0.9527,0.98024,0.98006,0.99416,0.91452,0.4211,0.75586,0.849,0.0003071,0.0003071,0.0003071
173,118.175,0.52374,1.34735,0.93813,0.98024,0.98006,0.99416,0.91452,0.4211,0.75586,0.849,0.0002972,0.0002972,0.0002972
174,118.886,0.53196,1.18425,0.99984,0.98024,0.98006,0.99416,0.91452,0.4211,0.75586,0.849,0.0002873,0.0002873,0.0002873
175,119.566,0.53948,1.3419,0.95023,0.98024,0.98006,0.99416,0.91452,0.4211,0.75586,0.849,0.0002774,0.0002774,0.0002774
176,120.234,0.52662,1.51757,0.96967,0.98024,0.98006,0.99416,0.91452,0.4211,0.75586,0.849,0.0002675,0.0002675,0.0002675
177,120.885,0.54022,1.40818,0.98235,0.98024,0.98006,0.99416,0.91452,0.4211,0.75586,0.849,0.0002576,0.0002576,0.0002576
178,121.547,0.53732,1.51415,0.96359,0.98024,0.98006,0.99416,0.91452,0.4211,0.75586,0.849,0.0002477,0.0002477,0.0002477
179,122.255,0.53029,1.35671,0.96437,0.98273,0.98354,0.99463,0.92654,0.39754,0.7086,0.84461,0.0002378,0.0002378,0.0002378
180,122.918,0.51052,1.18268,0.94644,0.98273,0.98354,0.99463,0.92654,0.39754,0.7086,0.84461,0.0002279,0.0002279,0.0002279
181,123.591,0.5039,1.29125,0.93602,0.98273,0.98354,0.99463,0.92654,0.39754,0.7086,0.84461,0.000218,0.000218,0.000218
182,124.263,0.53322,1.29377,0.96387,0.98273,0.98354,0.99463,0.92654,0.39754,0.7086,0.84461,0.0002081,0.0002081,0.0002081
